key,nse_names,group,notes
nifty_50,NIFTY 50,broad,
nifty_next_50,NIFTY NEXT 50,broad,
nifty_100,NIFTY 100,broad,
nifty_next_100,NIFTY NEXT 100,broad,
nifty_200,NIFTY 200,broad,
nifty_total_market,Nifty Total Market,broad,
nifty_500,NIFTY 500,broad,
nifty500_multicap_50_25_25,NIFTY500 MULTICAP 50:25:25,broad,
nifty500_largemidsmall_equal_cap_weighted,Nifty500 LargeMidSmall Equal-Cap Weighted,broad,
nifty_midcap_150,NIFTY MIDCAP 150,broad,
nifty_midcap_50,NIFTY MIDCAP 50,broad,
nifty_midcap_select,Nifty Midcap Select,broad,
nifty_midcap_100,NIFTY Midcap 100,broad,
nifty_smallcap_500,NIFTY Smallcap 500,broad,
nifty_small_cap_250,NIFTY SMALL CAP 250,broad,
nifty_small_cap_50,NIFTY SMALL CAP 50,broad,
nifty_smallcap_100,NIFTY Smallcap 100,broad,
nifty_microcap_250,Nifty Microcap 250,broad,
nifty_largemidcap_250,NIFTY LargeMidcap 250,broad,
nifty_midsmallcap_400,NIFTY MIDSMALLCAP 400,broad,
nifty_midsmallcap400_50_50,NIFTY MIDSMALLCAP400 50:50,broad,
nifty_india_fpi_150,Nifty India FPI 150,broad,
nifty_auto,NIFTY AUTO,sectoral,
nifty_bank,NIFTY BANK,sectoral,
nifty_capital_goods,NIFTY CAPITAL GOODS,sectoral,
nifty_cement,NIFTY CEMENT,sectoral,
nifty_chemicals,NIFTY CHEMICALS,sectoral,
nifty_commercial_transport_services,NIFTY COMMERCIAL & TRANSPORT SERVICES,sectoral,
nifty_construction,NIFTY CONSTRUCTION,sectoral,
nifty_consumer_durables,NIFTY CONSUMER DURABLES,sectoral,
nifty_consumer_services,NIFTY CONSUMER SERVICES,sectoral,
nifty_financial_services,NIFTY FINANCIAL SERVICES,sectoral,
nifty_financial_services_25_50,NIFTY FINANCIAL SERVICES 25/50,sectoral,
nifty_financial_services_ex_bank,NIFTY FINANCIAL SERVICES EX-BANK|NIFTY FINANCIAL SERVICES EX BANK|NIFTY FIN SERVICES EX-BANK,sectoral,
nifty_fmcg,NIFTY FMCG,sectoral,
nifty_healthcare,Nifty HEALTHCARE,sectoral,
nifty_hospitals,NIFTY HOSPITALS,sectoral,
nifty_housing_finance,NIFTY HOUSING FINANCE,sectoral,
nifty_insurance,NIFTY INSURANCE,sectoral,
nifty_it,NIFTY IT,sectoral,
nifty_media,NIFTY MEDIA,sectoral,
nifty_metal,NIFTY METAL,sectoral,
nifty_nbfc,NIFTY NBFC,sectoral,
nifty_oil_and_gas_index,NIFTY OIL & GAS|NIFTY OIL AND GAS|NIFTY OIL AND GAS INDEX,sectoral,
nifty_pharma,NIFTY PHARMA,sectoral,
nifty_power,NIFTY POWER,sectoral,
