key,nse_name_used,days,first_date,last_date,status,run_at_utc
nifty_50,NIFTY 50,6777,1999-06-30,2026-09-25,ok,2026-09-26 08:04
nifty_next_50,NIFTY NEXT 50,5935,2002-11-08,2026-09-25,ok,2026-09-26 08:04
nifty_100,NIFTY 100,5899,2003-01-01,2026-09-25,ok,2026-09-26 08:04
nifty_next_100,NIFTY NEXT 100,3964,2010-10-01,2026-09-25,ok,2026-09-26 08:04
nifty_200,NIFTY 200,5645,2004-01-01,2026-09-25,ok,2026-09-26 08:04
nifty_total_market,Nifty Total Market,5330,2005-04-01,2026-09-25,ok,2026-09-26 08:04
nifty_500,NIFTY 500,7865,1995-01-01,2026-09-25,ok,2026-09-26 08:04
nifty500_multicap_50_25_25,NIFTY500 MULTICAP 50:25:25,5330,2005-04-01,2026-09-25,ok,2026-09-26 08:04
nifty500_largemidsmall_equal_cap_weighted,Nifty500 LargeMidSmall Equal-Cap Weighted,5330,2005-04-01,2026-09-25,ok,2026-09-26 08:04
nifty_midcap_150,NIFTY MIDCAP 150,5330,2005-04-01,2026-09-25,ok,2026-09-26 08:04
nifty_midcap_50,NIFTY MIDCAP 50,5645,2004-01-01,2026-09-25,ok,2026-09-26 08:04
nifty_midcap_select,Nifty Midcap Select,5202,2005-10-03,2026-09-25,ok,2026-09-26 08:04
nifty_midcap_100,NIFTY Midcap 100,5899,2003-01-01,2026-09-25,ok,2026-09-26 08:04
nifty_smallcap_500,NIFTY Smallcap 500,5330,2005-04-01,2026-09-25,ok,2026-09-26 08:04
nifty_small_cap_250,NIFTY SMALLCAP 250,5330,2005-04-01,2026-09-25,ok,2026-09-26 08:04
nifty_small_cap_50,NIFTY SMALLCAP 50,5330,2005-04-01,2026-09-25,ok,2026-09-26 08:04
nifty_smallcap_100,NIFTY Smallcap 100,5645,2004-01-01,2026-09-25,ok,2026-09-26 08:04
nifty_microcap_250,Nifty Microcap 250,5330,2005-04-01,2026-09-25,ok,2026-09-26 08:04
nifty_largemidcap_250,NIFTY LargeMidcap 250,5330,2005-04-01,2026-09-25,ok,2026-09-26 08:04
nifty_midsmallcap_400,NIFTY MIDSMALLCAP 400,5330,2005-04-01,2026-09-25,ok,2026-09-26 08:04
nifty_midsmallcap400_50_50,NIFTY MIDSMALLCAP400 50:50,5330,2005-04-01,2026-09-25,ok,2026-09-26 08:04
nifty_india_fpi_150,Nifty India FPI 150,988,2022-10-03,2026-09-25,ok,2026-09-26 08:04
nifty_auto,NIFTY AUTO,5645,2004-01-01,2026-09-25,ok,2026-09-26 08:04
nifty_bank,NIFTY BANK,6649,2000-01-01,2026-09-25,ok,2026-09-26 08:04
nifty_capital_goods,NIFTY CAPITAL GOODS,5330,2005-04-01,2026-09-25,ok,2026-09-26 08:04
nifty_cement,NIFTY CEMENT,5330,2005-04-01,2026-09-25,ok,2026-09-26 08:04
nifty_chemicals,NIFTY CHEMICALS,5330,2005-04-01,2026-09-25,ok,2026-09-26 08:04
nifty_commercial_transport_services,NIFTY COMMERCIAL & TRANSPORT SERVICES,5330,2005-04-01,2026-09-25,ok,2026-09-26 08:04
nifty_construction,NIFTY CONSTRUCTION,5330,2005-04-01,2026-09-25,ok,2026-09-26 08:04
nifty_consumer_durables,NIFTY CONSUMER DURABLES,5330,2005-04-01,2026-09-25,ok,2026-09-26 08:04
nifty_consumer_services,NIFTY CONSUMER SERVICES,1551,2020-07-01,2026-09-25,ok,2026-09-26 08:04
nifty_financial_services,NIFTY FINANCIAL SERVICES,5645,2004-01-01,2026-09-25,ok,2026-09-26 08:04
nifty_financial_services_25_50,NIFTY FINANCIAL SERVICES 25/50,5645,2004-01-01,2026-09-25,ok,2026-09-26 08:04
nifty_financial_services_ex_bank,NIFTY FINANCIAL SERVICES EX-BANK,5330,2005-04-01,2026-09-25,ok,2026-09-26 08:04
nifty_fmcg,NIFTY FMCG,7646,1996-01-01,2026-09-25,ok,2026-09-26 08:04
nifty_healthcare,Nifty HEALTHCARE,5330,2005-04-01,2026-09-25,ok,2026-09-26 08:04
nifty_hospitals,NIFTY HOSPITALS,1362,2021-03-31,2026-09-25,ok,2026-09-26 08:04
nifty_housing_finance,NIFTY HOUSING FINANCE,2105,2018-04-02,2026-09-25,ok,2026-09-26 08:04
nifty_insurance,NIFTY INSURANCE,1737,2019-09-27,2026-09-25,ok,2026-09-26 08:04
nifty_it,NIFTY IT,6778,1999-06-30,2026-09-25,ok,2026-09-26 08:04
nifty_media,NIFTY MEDIA,5141,2005-12-30,2026-09-25,ok,2026-09-26 08:04
nifty_metal,NIFTY METAL,5645,2004-01-01,2026-09-25,ok,2026-09-26 08:04
nifty_nbfc,NIFTY NBFC,5330,2005-04-01,2026-09-25,ok,2026-09-26 08:04
nifty_oil_and_gas_index,NIFTY OIL & GAS,5330,2005-04-01,2026-09-25,ok,2026-09-26 08:04
nifty_pharma,NIFTY PHARMA,6398,2001-01-01,2026-09-25,ok,2026-09-26 08:04
nifty_power,NIFTY POWER,5330,2005-04-01,2026-09-25,ok,2026-09-26 08:04
nifty_private_bank,NIFTY PRIVATE BANK,5330,2005-04-01,2026-09-25,ok,2026-09-26 08:04
nifty_psu_bank,NIFTY PSU BANK,5645,2004-01-01,2026-09-25,ok,2026-09-26 08:04
nifty_realty,NIFTY REALTY,4891,2006-12-29,2026-09-25,ok,2026-09-26 08:04
nifty_reits_realty,Nifty REITS & REALTY,1300,2021-07-01,2026-09-25,ok,2026-09-26 08:04
nifty_retail,NIFTY RETAIL,2105,2018-04-02,2026-09-25,ok,2026-09-26 08:04
nifty_telecommunications,NIFTY TELECOMMUNICATIONS,5330,2005-04-01,2026-09-25,ok,2026-09-26 08:04
nifty500_healthcare,Nifty500 Healthcare,5330,2005-04-01,2026-09-25,ok,2026-09-26 08:04
nifty_midsmall_financial_services,Nifty MidSmall Financial Services,5330,2005-04-01,2026-09-25,ok,2026-09-26 08:04
nifty_midsmall_healthcare,Nifty MidSmall Healthcare,5330,2005-04-01,2026-09-25,ok,2026-09-26 08:04
nifty_midsmall_it_telecom,Nifty MidSmall IT & Telecom,5330,2005-04-01,2026-09-25,ok,2026-09-26 08:04
nifty_ai_catalysts,Nifty AI Catalysts,558,2024-06-28,2026-09-25,ok,2026-09-26 08:04
nifty_india_corporate_group_index_aditya_birla_group,NIFTY INDIA CORPORATE GROUP INDEX - ADITYA BIRLA GROUP,5330,2005-04-01,2026-09-25,ok,2026-09-26 08:04
nifty_capital_markets,Nifty Capital Markets,1857,2019-04-01,2026-09-25,ok,2026-09-26 08:04
nifty_commodities,NIFTY COMMODITIES,5644,2004-01-01,2026-09-25,ok,2026-09-26 08:04
nifty_conglomerate_50,NIFTY CONGLOMERATE 50,5330,2005-04-01,2026-09-25,ok,2026-09-26 08:04
nifty_core_housing,Nifty Core Housing,5330,2005-04-01,2026-09-25,ok,2026-09-26 08:04
nifty_cpse,NIFTY CPSE,4395,2009-01-01,2026-09-25,ok,2026-09-26 08:04
nifty_energy,NIFTY ENERGY,6398,2001-01-01,2026-09-25,ok,2026-09-26 08:04
nifty_ev_new_age_automotive,Nifty EV & New Age Automotive,2105,2018-04-02,2026-09-25,ok,2026-09-26 08:04
nifty_housing,Nifty Housing,5330,2005-04-01,2026-09-25,ok,2026-09-26 08:04
nifty100_esg,NIFTY100 ESG,3838,2011-04-01,2026-09-25,ok,2026-09-26 08:04
nifty100_enhanced_esg,NIFTY100 Enhanced ESG,3838,2011-04-01,2026-09-25,ok,2026-09-26 08:04
nifty100_esg_sector_leaders,Nifty100 ESG Sector Leaders,3152,2014-01-01,2026-09-25,ok,2026-09-26 08:04
nifty_india_consumption,NIFTY INDIA CONSUMPTION,5139,2006-01-02,2026-09-25,ok,2026-09-26 08:04
nifty_india_defence,Nifty India Defence,2105,2018-04-02,2026-09-25,ok,2026-09-26 08:04
nifty_india_defence_equal_weight,Nifty India Defence Equal Weight,2105,2018-04-02,2026-09-25,ok,2026-09-26 08:04
nifty_india_digital,Nifty India Digital,5330,2005-04-01,2026-09-25,ok,2026-09-26 08:04
nifty_india_infrastructure_logistics,Nifty India Infrastructure & Logistics,5330,2005-04-01,2026-09-25,ok,2026-09-26 08:04
nifty_india_internet,Nifty India Internet,1237,2021-10-01,2026-09-25,ok,2026-09-26 08:04
nifty_india_manufacturing,Nifty India Manufacturing,5330,2005-04-01,2026-09-25,ok,2026-09-26 08:04
nifty_india_new_age_consumption,NIFTY INDIA NEW AGE CONSUMPTION,5330,2005-04-01,2026-09-25,ok,2026-09-26 08:04
nifty_india_railways_psu,Nifty India Railways PSU,1361,2021-04-01,2026-09-25,ok,2026-09-26 08:04
nifty_india_tourism,NIFTY INDIA TOURISM,5330,2005-04-01,2026-09-25,ok,2026-09-26 08:04
nifty_india_select_5_corporate_groups_maatr,NIFTY INDIA SELECT 5 CORPORATE GROUPS (MAATR),5330,2005-04-01,2026-09-25,ok,2026-09-26 08:04
nifty_infrastructure,NIFTY INFRASTRUCTURE,5645,2004-01-01,2026-09-25,ok,2026-09-26 08:04
nifty_india_corporate_group_index_mahindra_group,NIFTY INDIA CORPORATE GROUP INDEX - MAHINDRA GROUP,5330,2005-04-01,2026-09-25,ok,2026-09-26 08:04
nifty_ipo,NIFTY IPO,2413,2017-01-02,2026-09-25,ok,2026-09-26 08:04
nifty_midcap_liquid_15,NIFTY MIDCAP LIQUID 15,4395,2009-01-01,2026-09-25,ok,2026-09-26 08:04
nifty_midsmall_india_consumption,Nifty MidSmall India Consumption,5330,2005-04-01,2026-09-25,ok,2026-09-26 08:04
nifty_mnc,NIFTY MNC,7864,1995-01-02,2026-09-25,ok,2026-09-26 08:04
nifty_mobility,Nifty Mobility,5330,2005-04-01,2026-09-25,ok,2026-09-26 08:04
nifty_pse,NIFTY PSE,6648,2000-01-03,2026-09-25,ok,2026-09-26 08:04
nifty_reits_invits,Nifty REITs & InvITs,1797,2019-07-01,2026-09-25,ok,2026-09-26 08:04
nifty_reits_invits_90_10,Nifty REITs & InvITs 90:10,1361,2021-04-01,2026-09-25,ok,2026-09-26 08:04
nifty_rural,Nifty Rural,5330,2005-04-01,2026-09-25,ok,2026-09-26 08:04
nifty_non_cyclical_consumer_index,NIFTY NON-CYCLICAL CONSUMER,5330,2005-04-01,2026-09-25,ok,2026-09-26 08:04
nifty_services_sector,NIFTY SERVICES SECTOR,6799,1999-06-01,2026-09-25,ok,2026-09-26 08:04
nifty_shariah_25,NIFTY SHARIAH 25,4395,2009-01-01,2026-09-25,ok,2026-09-26 08:04
nifty_small_finance_banks_microfinance_institutions,Nifty Small Finance Banks & Microfinance Institutions,1361,2021-03-31,2026-09-25,ok,2026-09-26 08:04
nifty_sugar_ethanol,Nifty Sugar & Ethanol,1361,2021-03-31,2026-09-25,ok,2026-09-26 08:04
nifty_india_corporate_group_index_tata_group,NIFTY INDIA CORPORATE GROUP INDEX - TATA GROUP,5330,2005-04-01,2026-09-25,ok,2026-09-26 08:04
nifty_india_corporate_group_index_tata_group_25_cap,NIFTY INDIA CORPORATE GROUP INDEX - TATA GROUP 25% CAP,5330,2005-04-01,2026-09-25,ok,2026-09-26 08:04
nifty_transportation_logistics,Nifty Transportation & Logistics,5330,2005-04-01,2026-09-25,ok,2026-09-26 08:04
nifty100_liquid_15,NIFTY100 LIQUID 15,3284,2013-06-20,2026-09-25,ok,2026-09-26 08:04
nifty50_shariah,NIFTY50 SHARIAH,4891,2006-12-29,2026-09-25,ok,2026-09-26 08:04
nifty500_shariah,NIFTY500 SHARIAH,4891,2006-12-29,2026-09-25,ok,2026-09-26 08:04
nifty500_multicap_india_manufacturing_50_30_20,NIFTY500 MULTICAP INDIA MANUFACTURING 50:30:20,5330,2005-04-01,2026-09-25,ok,2026-09-26 08:04
