scheme_code,scheme_name,amc,category_latest,category_first,plan,option,isin_growth_or_payout,isin_reinvest,first_nav_date,last_nav_date,nav_count,status
100027,Grindlays Super Saver Income Fund-GSSIF-Half Yearly Dividend,Standard Chartered Mutual Fund,Open Ended Schemes ( Income ),Open Ended Schemes ( Income ),,,,,2006-04-03,2008-05-29,531,closed_or_merged
100028,Grindlays Super Saver Income Fund-GSSIF-Quaterly Dividend,Standard Chartered Mutual Fund,Open Ended Schemes ( Income ),Open Ended Schemes ( Income ),,,,,2006-04-03,2008-05-29,531,closed_or_merged
100029,Grindlays Super Saver Income Fund-GSSIF-Growth,Standard Chartered Mutual Fund,Open Ended Schemes ( Income ),Open Ended Schemes ( Income ),,,,,2006-04-03,2008-05-29,531,closed_or_merged
100030,Grindlays Super Saver Income Fund-GSSIF-Annual Dividend,Standard Chartered Mutual Fund,Open Ended Schemes ( Income ),Open Ended Schemes ( Income ),,,,,2006-04-03,2008-05-29,531,closed_or_merged
100031,Grindlays Super Saver Income Fund-GSSIF - ST-Dividend,Standard Chartered Mutual Fund,Open Ended Schemes ( Income ),Open Ended Schemes ( Income ),,,,,2006-04-03,2008-05-29,531,closed_or_merged
100032,Grindlays Super Saver Income Fund-GSSIF - ST-Growth,Standard Chartered Mutual Fund,Open Ended Schemes ( Income ),Open Ended Schemes ( Income ),,,,,2006-04-03,2008-05-29,531,closed_or_merged
100033,Aditya Birla Sun Life Large & Mid Cap Fund - Regular Growth,Aditya Birla Sun Life Mutual Fund,Open Ended Schemes ( Equity Scheme - Large & Mid Cap Fund ),Open Ended Schemes ( Equity Scheme - Large & Mid Cap Fund ),Regular Plan,GROWTH,INF209K01165,,2006-04-03,2022-12-30,1418,active
100034,Aditya Birla Sun Life Large & Mid Cap Fund -Regular - IDCW,Aditya Birla Sun Life Mutual Fund,Open Ended Schemes ( Equity Scheme - Large & Mid Cap Fund ),Open Ended Schemes ( Equity Scheme - Large & Mid Cap Fund ),Regular Plan,IDCW,INF209K01157,INF209K01CE5,2006-04-03,2022-12-30,1418,active
100035,Birla Sun Life Freedom Fund-Plan A (Dividend),Aditya Birla Sun Life Mutual Fund,Open Ended Schemes ( Balanced ),Open Ended Schemes ( Balanced ),,,,,2006-04-03,2010-12-31,1170,closed_or_merged
100036,Birla Sun Life Freedom Fund-Plan B (Growth),Aditya Birla Sun Life Mutual Fund,Open Ended Schemes ( Balanced ),Open Ended Schemes ( Balanced ),,,,,2006-04-03,2010-12-31,1170,closed_or_merged
